기준년월일,시군구명,남성 10세미만 유동인구수,남성 10-14세 유동인구수,남성 15-19세 유동인구수,남성 20-24세 유동인구수,남성 25-29세 유동인구수,남성 30-34세 유동인구수,남성 35-39세 유동인구수,남성 40-44세 유동인구수,남성 45-49세 유동인구수,남성 50-54세 유동인구수,남성 55-59세 유동인구수,남성 60-64세 유동인구수,남성 65-69세 유동인구수,남성 70세이상 유동인구수,여성 10세미만 유동인구수,여성 10-14세 유동인구수,여성 15-19세 유동인구수,여성 20-24세 유동인구수,여성 25-29세 유동인구수,여성 30-34세 유동인구수,여성 35-39세 유동인구수,여성 40-44세 유동인구수,여성 45-49세 유동인구수,여성 50-54세 유동인구수,여성 55-59세 유동인구수,여성 60-64세 유동인구수,여성 65-69세 유동인구수,여성 70세이상 유동인구수
20240103,,109732.94,,141981.29,147847.02,170328.58,199987.16,224352.11,227830.28,261014.86,242913.53,246965.72,212351.2,168257.55,115453.02,131328.25,,117897.15,144672.44,128619.64,173476.09,168866.97,185333.88,196101.87,228265.45,221362.48,206762.4,171238.63,136282.71
20240103,,9134.69,,12792.34,19822.16,21600.7,22022.65,21534.75,21676.14,28377.55,31751.09,36376.36,35042.04,29069.25,21648.86,30042.91,,9561.3,12834.17,15893.62,22042.33,16976.08,16246.96,18756.18,22878.06,24621.04,28878.06,27536.8,23415.93
20240103,,10898.49,,12534.42,15026.71,16825.91,16078.54,19590.89,21833.92,27614.08,28485.78,32745.24,29611.66,26415.88,20802.7,31541.46,,9488.79,15061.58,11940.72,12934.06,13833.53,13734.27,18051.18,21696.98,23705.98,24818.25,24451.65,24281.58
20240103,,58575.34,,66442.34,64673.14,68723.84,86325.56,112112.44,133577.51,159933.05,143214.72,137895.48,111141.53,84353.9,56273.8,68034.76,,61588.92,67707.99,59264.41,64740.7,64584,83475.83,103017.25,113241.39,98990.58,84693.14,72681.79,57557.2
20240103,,19803.99,,32166.59,30904.3,30135.69,36692.71,41764.71,45835.43,57914.7,57138.2,60340.34,51726.55,43938.85,31777.05,41191.53,,22530.03,30861.73,26145.18,22738.38,23728.01,31048.1,39926.65,48802.54,46888.38,43286.97,39821.02,32776.8
20240103,,10648.99,,14985.07,19218.99,21939.78,20436.82,21148.47,20469.93,27913.02,31489.25,36302.09,34824.73,29142.85,22391.79,32665.16,,10488.54,15352.26,15775.51,17042.26,15974.09,16536.7,19889.19,25697.13,25369.39,28315.95,27366.46,24114.64
20240103,,5567.1,,7436.51,8591.33,8368.32,6834.03,7843.85,10036.97,14309.59,15754.95,15237.52,9979.37,7862.79,5096.11,6079.58,,4943.44,8023.59,7152.63,5102.36,4310,6937.12,8694.61,12651.74,14493.92,12038.7,8691.79,6199.94
20240103,,20301.3,,25946.49,22786.32,23402.97,32337.23,44268.39,48781.5,62787.04,58210.66,59408.15,52594.62,42638.76,30050.28,34390.39,,21387.45,25063.43,20392.15,18850.09,22051.33,27232.28,34038.6,40333.63,35579.33,32903.24,30152.58,26449.32
20240103,,3015.55,,5835.32,6121.07,7395.03,7677.88,9099.95,11027.32,15472.65,14970.36,18139.22,17888.67,14641.73,10924.16,16568.51,,3767.26,4920.49,5206.96,4801.89,5583.53,6109.39,7615.86,8796.67,10469.38,11545.76,12990.73,11297.29
20240103,,5444.28,,5802.14,8251.97,7727.27,9685.15,9627.96,9814.94,14666.14,15425.35,18011.7,19232.16,16399.84,13593.85,22776.14,,3916.59,5465.01,7050.31,5551.78,6949.73,7088,9020.33,9978.83,12143.26,13704.09,15896.7,13973.2
