순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
71,충청남도,천안시 동남구,대정저수지,충남 천안시 동남구,자연관광,자연경관(하천/해양),1300
72,충청남도,천안시 동남구,더스완천안아산점,충남 천안시 동남구 청수14로 102-0,문화관광,테마공원,1299
73,충청남도,천안시 동남구,청송사,충남 천안시 동남구 향교1길 23-0,역사관광,종교성지,1293
74,충청남도,천안시 동남구,승천사,충남 천안시 동남구 약수로 46-0,역사관광,종교성지,1218
75,충청남도,천안시 동남구,천안실내선상바다낚시터,충남 천안시 동남구 충절로 1001-0,레저스포츠,수상레저스포츠,1204
76,충청남도,천안시 동남구,광덕산,충남 천안시 동남구,자연관광,자연경관(산),1178
77,충청남도,천안시 동남구,독립기념관단풍나무숲길힐링축제,충남 천안시 동남구 삼방로 159-0,문화관광,기타문화관광지,1144
78,충청남도,천안시 동남구,덕성낚시터,충남 천안시 동남구 덕성1길 43-0,레저스포츠,수상레저스포츠,1090
79,충청남도,천안시 동남구,천안어린이천문대,충남 천안시 동남구,문화관광,랜드마크관광,948
80,충청남도,천안시 동남구,산사람농원,충남 천안시 동남구 해수길 300-0,체험관광,농/산/어촌체험,906
81,충청남도,천안시 동남구,천안향교,충남 천안시 동남구 향교1길 89-0,역사관광,역사유적지,882
82,충청남도,천안시 동남구,폭스캐럿21,충남 천안시 동남구 만남로 6-0,쇼핑,쇼핑몰,869
83,충청남도,천안시 동남구,흑성산,충남 천안시 동남구,자연관광,자연경관(산),847
84,충청남도,천안시 동남구,선영비앤씨,충남 천안시 동남구 풍세로 746-0,쇼핑,시장,841
85,충청남도,천안시 동남구,광덕산,충남 아산시,자연관광,자연경관(산),826
86,충청남도,천안시 동남구,더피치천안신방점,충남 천안시 동남구 신촌1길 23-0,문화관광,레저스포츠시설,773
87,충청남도,천안시 동남구,천안상록리조트아쿠아피아,충남 천안시 동남구 수신로 576-0,체험관광,웰니스관광,770
88,충청남도,천안시 동남구,광덕쉼터,충남 천안시 동남구,기타관광,기타관광,743
89,충청남도,천안시 동남구,주몽승마장,충남 천안시 동남구 매봉로 497-0,레저스포츠,육상레저스포츠,741
90,충청남도,천안시 동남구,신부문화공원,충남 천안시 동남구,문화관광,도시공원,721
91,충청남도,천안시 동남구,백석연수원,충남 천안시 동남구 개목고개길 363-0,레저스포츠,육상레저스포츠,689
92,충청남도,천안시 동남구,천안케이블워터파크,충남 천안시 동남구 문암로 227-0,레저스포츠,수상레저스포츠,677
93,충청남도,천안시 동남구,북면계곡,충남 천안시 동남구 오곡2길 0-0,자연관광,자연경관(산),669
94,충청남도,천안시 동남구,월클베이스볼,충남 천안시 동남구 양지4길 12-10,문화관광,레저스포츠시설,652
