순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
110,충청남도,천안시 동남구,도시커피,충남 천안시 동남구 통정10로 7-1,음식,카페/찻집,3008
112,충청남도,천안시 동남구,eso,충남 천안시 동남구 태조산길 142-8,음식,카페/찻집,3004
113,충청남도,천안시 동남구,제주미작,충남 천안시 동남구 신흥1길 58-1,음식,카페/찻집,3001
114,충청남도,천안시 동남구,알토,충남 천안시 동남구 청수10길 4-120,음식,외국식,2988
115,충청남도,천안시 동남구,돈까스클럽천안신방점,충남 천안시 동남구 서부대로 135-0,음식,전문음식,2987
116,충청남도,천안시 동남구,홍익돈까스천안1호점,충남 천안시 동남구 충무로 70-0,음식,전문음식,2984
117,충청남도,천안시 동남구,월남쌈김상사본점,충남 천안시 동남구 충절로 443-0,음식,외국식,2939
118,충청남도,천안시 동남구,메콩타이천안신방점,충남 천안시 동남구 서부대로 101-0,음식,외국식,2917
119,충청남도,천안시 동남구,비비킹,충남 천안시 동남구 개천골길 9-7,음식,전문음식,2885
120,충청남도,천안시 동남구,궁전해물칼국수원성본점,충남 천안시 동남구 원성2교길 21-1,음식,한식,2876
121,충청남도,천안시 동남구,코다리덕장,충남 천안시 동남구 충무로 170-18,음식,한식,2869
122,충청남도,천안시 동남구,북극해고등어천안동남점,충남 천안시 동남구 광풍로 1725-0,음식,한식,2863
123,충청남도,천안시 동남구,고모네순대,충남 천안시 동남구 아우내순대길 34-0,음식,한식,2851
124,충청남도,천안시 동남구,명륜진사갈비천안구성점,충남 천안시 동남구 청수로 109-2,음식,한식,2843
125,충청남도,천안시 동남구,오미오미수제만두전골앤칡냉면본점,충남 천안시 동남구 동평3길 10-0,음식,한식,2824
126,충청남도,천안시 동남구,파리바게뜨목천부영점,충남 천안시 동남구 삼성5길 46-0,음식,간이음식,2795
127,충청남도,천안시 동남구,조리고천안점,충남 천안시 동남구 차돌고개7길 1-0,음식,한식,2772
128,충청남도,천안시 동남구,정애식당,충남 천안시 동남구 봉정로 28-0,음식,한식,2757
129,충청남도,천안시 동남구,투썸플레이스천안통정점,충남 천안시 동남구 신방통정로 44-0,음식,카페/찻집,2756
130,충청남도,천안시 동남구,흑고을,충남 천안시 동남구 충절로 165-0,음식,한식,2711
131,충청남도,천안시 동남구,히트커피로스터스,충남 천안시 동남구 통정4로 67-0,음식,카페/찻집,2695
132,충청남도,천안시 동남구,광화문집[한식],충남 천안시 동남구 원성2교길 49-0,음식,한식,2665
133,충청남도,천안시 동남구,둥지식당,충남 천안시 동남구 용곡2길 43-10,음식,한식,2664
134,충청남도,천안시 동남구,을화옥천안점,충남 천안시 동남구 광풍로 1677-0,음식,한식,2651
135,충청남도,천안시 동남구,메가커피천안신방지구점,충남 천안시 동남구 통정11로 49-0,음식,카페/찻집,2633
136,충청남도,천안시 동남구,경복궁신부점,충남 천안시 동남구 천안천7길 38-0,음식,한식,2610
137,충청남도,천안시 동남구,망향비빔국수풍세점,충남 천안시 동남구 돈마루1길 167-5,음식,한식,2555
138,충청남도,천안시 동남구,하와이오니,충남 천안시 동남구 통세골2길 39-0,음식,한식,2549
139,충청남도,천안시 동남구,대양포세이돈,충남 천안시 동남구 신흥1길 54-0,음식,전문음식,2513
140,충청남도,천안시 동남구,갈재산장,충남 천안시 동남구 해수길 348-0,음식,한식,2472
141,충청남도,천안시 동남구,진성병천수제순대본점,충남 천안시 동남구 충절로 1166-0,음식,한식,2431
141,충청남도,천안시 동남구,투썸플레이스천안청수행정타운점,충남 천안시 동남구 청수13로 14-0,음식,카페/찻집,2431
143,충청남도,천안시 동남구,무한가츠,충남 천안시 동남구 구성12길 1-0,음식,전문음식,2423
144,충청남도,천안시 동남구,안고시,충남 천안시 동남구 동평3길 6-0,음식,한식,2400
145,충청남도,천안시 동남구,VIEW282,충남 천안시 동남구 유량로 282-0,음식,간이음식,2399
146,충청남도,천안시 동남구,박순자아우내순대직영1호점,충남 천안시 동남구 신촌4로 34-0,음식,한식,2388
147,충청남도,천안시 동남구,연화갈비밀면,충남 천안시 동남구 노루목길 11-0,음식,한식,2385
148,충청남도,천안시 동남구,개울목,충남 천안시 동남구 위례성로 1288-0,음식,한식,2384
149,충청남도,천안시 동남구,어나더카페,충남 천안시 동남구 서리1길 89-0,음식,카페/찻집,2381
150,충청남도,천안시 동남구,만복이파김치감자탕,충남 천안시 동남구 통정12로 4-0,음식,한식,2379
151,충청남도,천안시 동남구,연우정,충남 천안시 동남구 천안대로 368-0,음식,한식,2339
152,충청남도,천안시 동남구,양가산생선구이,충남 천안시 동남구 서부대로 131-0,음식,한식,2290
