순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
244,충청남도,천안시 서북구,고운육회방앗간,충남 천안시 서북구 백석3로 25-0,음식,한식,2153
246,충청남도,천안시 서북구,크래버대게나라천안점,충남 천안시 서북구 한들2로 13-0,음식,전문음식,2151
247,충청남도,천안시 서북구,장인닭갈비불당점,충남 천안시 서북구 불당21로 67-21,음식,전문음식,2145
248,충청남도,천안시 서북구,스타벅스천안불당점,충남 천안시 서북구 불당4로 91-0,음식,카페/찻집,2130
248,충청남도,천안시 서북구,어죽대부,충남 천안시 서북구 석문길 49-0,음식,한식,2130
250,충청남도,천안시 서북구,참새아구복서부점,충남 천안시 서북구 도원8길 35-0,음식,한식,2129
251,충청남도,천안시 서북구,카페한움,충남 천안시 서북구 불당34길 25-5,음식,카페/찻집,2122
252,충청남도,천안시 서북구,형님,충남 천안시 서북구 노태산로 56-0,음식,한식,2119
253,충청남도,천안시 서북구,구좌리얼크니손칼국수천안점,충남 천안시 서북구 한들1로 56-20,음식,한식,2117
254,충청남도,천안시 서북구,꼬니숑,충남 천안시 서북구 불당28길 28-0,음식,외국식,2108
255,충청남도,천안시 서북구,던킨천안신불당점,충남 천안시 서북구 불당26로 122-0,음식,간이음식,2100
256,충청남도,천안시 서북구,인제맷돌손두부,충남 천안시 서북구 백석4길 47-0,음식,한식,2098
257,충청남도,천안시 서북구,장수촌성환점,충남 천안시 서북구 천안대로 1827-0,음식,한식,2096
258,충청남도,천안시 서북구,궁중감자탕짜글이천안본점,충남 천안시 서북구 4산단7로 28-0,음식,한식,2084
259,충청남도,천안시 서북구,착한낙지천안점,충남 천안시 서북구 백석로 214-0,음식,전문음식,2082
260,충청남도,천안시 서북구,토담,충남 천안시 서북구 사라리길 10-1,음식,전문음식,2081
261,충청남도,천안시 서북구,오봉집천안불당점,충남 천안시 서북구 불당33길 15-0,음식,한식,2076
262,충청남도,천안시 서북구,다정보신명가,충남 천안시 서북구 미라13길 21-0,음식,한식,2073
263,충청남도,천안시 서북구,49소갈비살,충남 천안시 서북구 월봉4로 10-0,음식,한식,2064
264,충청남도,천안시 서북구,풀리[한식],충남 천안시 서북구 백석로 85-2,음식,한식,2061
265,충청남도,천안시 서북구,신라고등어,충남 천안시 서북구 음봉로 891-0,음식,한식,2056
266,충청남도,천안시 서북구,수원참갈비,충남 천안시 서북구 쌍용16길 60-0,음식,한식,2053
267,충청남도,천안시 서북구,제이스맨션,충남 천안시 서북구 불당28길 24-0,음식,카페/찻집,2044
268,충청남도,천안시 서북구,365+간장게장,충남 천안시 서북구 불당25로 142-0,음식,한식,2043
269,충청남도,천안시 서북구,네네치킨성환점,충남 천안시 서북구 신선동길 20-0,음식,간이음식,2042
270,충청남도,천안시 서북구,우림정,충남 천안시 서북구 두정중5길 44-10,음식,한식,2040
271,충청남도,천안시 서북구,택이네조개전골천안신불당점,충남 천안시 서북구 불당33길 48-0,음식,전문음식,2038
272,충청남도,천안시 서북구,신화푸드빌리지천안불당점,충남 천안시 서북구 검은들1길 25-0,음식,한식,2037
273,충청남도,천안시 서북구,불당한우정육식당,충남 천안시 서북구 불당25로 192-0,음식,한식,2034
274,충청남도,천안시 서북구,설잔기지떡,충남 천안시 서북구 불당12길 22-11,음식,간이음식,2029
275,충청남도,천안시 서북구,투썸플레이스천안차암점,충남 천안시 서북구 밤개울1길 1-1,음식,카페/찻집,2028
276,충청남도,천안시 서북구,성환순대두번째집,충남 천안시 서북구 성환1로 293-0,음식,한식,2025
276,충청남도,천안시 서북구,궁전해물칼국수불당점,충남 천안시 서북구 불당29길 7-4,음식,한식,2025
278,충청남도,천안시 서북구,대안식당,충남 천안시 서북구 도원7길 17-0,음식,한식,2019
279,충청남도,천안시 서북구,착한낙지천안쌍용점,충남 천안시 서북구 충무로 134-0,음식,전문음식,2016
