순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
101,충청남도,천안시 서북구,선사유적지공원,충남 천안시 서북구,문화관광,도시공원,335
102,충청남도,천안시 서북구,빵빵데이천안,충남 천안시 서북구 번영로 156-0,문화관광,기타문화관광지,308
102,충청남도,천안시 서북구,직산민물수산,충남 천안시 서북구 천안대로 1347-0,쇼핑,시장,308
104,충청남도,천안시 서북구,충남스마트워크센터,충남 천안시 서북구 축구센터로 163-0,문화관광,기타문화관광지,305
105,충청남도,천안시 서북구,직산삼은저수지,충남 천안시 서북구 직산로 0-0,자연관광,자연경관(하천/해양),302
106,충청남도,천안시 서북구,마치파크,충남 천안시 서북구 한들1로 171-0,문화관광,도시공원,301
107,충청남도,천안시 서북구,ST복싱클럽,충남 천안시 서북구 불당1길 49-0,레저스포츠,기타레저스포츠,300
108,충청남도,천안시 서북구,지산체육공원,충남 아산시,문화관광,도시공원,286
109,충청남도,천안시 서북구,드래곤키즈파티룸,충남 천안시 서북구 한들3로 35-28,문화관광,테마공원,278
110,충청남도,천안시 서북구,평생탁구교실,충남 천안시 서북구 백석3로 130-14,레저스포츠,기타레저스포츠,276
111,충청남도,천안시 서북구,천안푸름체리농원,충남 천안시 서북구 당곡2길 51-74,체험관광,농/산/어촌체험,273
112,충청남도,천안시 서북구,왕지봉배꽃,충남 천안시 서북구,기타관광,기타관광,270
113,충청남도,천안시 서북구,패드워크,충남 천안시 서북구 노태산로 73-0,레저스포츠,기타레저스포츠,266
114,충청남도,천안시 서북구,이화정,충남 천안시 서북구,역사관광,역사유적지,265
115,충청남도,천안시 서북구,타겟존천안두정점,충남 천안시 서북구 오성로 71-0,레저스포츠,기타레저스포츠,252
116,충청남도,천안시 서북구,칸나공원,충남 천안시 서북구 미라12길 24-0,문화관광,도시공원,251
117,충청남도,천안시 서북구,천안한들파크골프장,충남 천안시 서북구 음봉로 861-50,레저스포츠,육상레저스포츠,250
118,충청남도,천안시 서북구,천안시민문화여성회관성환분관 대공연장,충남 천안시 서북구 성진로 15-0,문화관광,공연시설,244
119,충청남도,천안시 서북구,천안빅애플,충남 천안시 서북구 부성6길 23-0,레저스포츠,기타레저스포츠,242
120,충청남도,천안시 서북구,석곡지,충남 천안시 서북구 부송로 0-0,자연관광,자연경관(하천/해양),238
121,충청남도,천안시 서북구,허니머쉬,충남 천안시 서북구 성진로 689-2,체험관광,농/산/어촌체험,233
122,충청남도,천안시 서북구,피어39바다낚시터,충남 천안시 서북구 천안대로 1303-12,레저스포츠,수상레저스포츠,216
123,충청남도,천안시 서북구,천흥사지오층석탑,충남 천안시 서북구,역사관광,역사유적지,208
124,충청남도,천안시 서북구,훈케이지풋살장,충남 천안시 서북구 성성8로 2-40,문화관광,레저스포츠시설,204
125,충청남도,천안시 서북구,우리끼리 키즈카페 오아시스마을천안불당센터시티점,충남 천안시 서북구 불당25로 8-0,문화관광,테마공원,200
126,충청남도,천안시 서북구,입장시장,충남 천안시 서북구 입장시장3길 8-2,쇼핑,시장,190
127,충청남도,천안시 서북구,예작도예,충남 천안시 서북구 불당16길 5-0,체험관광,공예체험,187
128,충청남도,천안시 서북구,토끼별미술관,충남 천안시 서북구 소댕이2길 1-17,체험관광,공예체험,186
129,충청남도,천안시 서북구,꿀잼실내놀이터성성점,충남 천안시 서북구 성성8로 2-43,문화관광,테마공원,185
130,충청남도,천안시 서북구,천안레전드스크린야구존두정점,충남 천안시 서북구 오성로 77-0,레저스포츠,기타레저스포츠,180
131,충청남도,천안시 서북구,병권네포도농원,충남 천안시 서북구 신덕4길 53-2,체험관광,농/산/어촌체험,179
132,충청남도,천안시 서북구,조상현탁구클럽,충남 천안시 서북구 오성로 23-0,레저스포츠,기타레저스포츠,175
133,충청남도,천안시 서북구,79푸드컴퍼니,충남 천안시 서북구 성진로 281-0,쇼핑,시장,171
